id,question,question_concept,choices,answerKey
527e72eb38950b8031ee6217ef531960,When someone falls from a mountain it will lead them to?,snake,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['joke', 'humor', 'frightened', 'fight', 'laughter']}",D
6741642ade99f46b6086e9468f327b49,Too many people want exotic snakes.  The demand is driving what to carry them?,snow,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['orchestra', 'baritone woodwind sound', 'symphony', 'play music', 'high school band']}",E
6e95e20d2209385bfcc7992e8c89fa4f,When he touched the exposed wire he shouldn't have found it surprising that he got what?,department store,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['gathering of information', 'communication', 'feel relaxed', 'kill boredom', 'social bonding']}",A
d4bd50180e11e2801e7285938b5d522f,What do you need to be to learn hard concepts?,adult,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['apartment', 'classroom', 'buildings', 'car', 'audience']}",D
f03a340e093dbd5eea88feb6507ed20e,What does playing soccer for a long time lead to?,food,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['satisfaction', 'flying', 'sweating', 'falling down', 'trip']}",C
e440c72b49b7e849097c7b84941f757d,What are you hoping to achieve when talking to someone?,learning about science,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['bookstore', 'house', 'race track', ""friend's house"", 'building']}",E
18e11decf805bfa1948950434cbb8318,What would you normally expect a cat to say?,acoustic guitar,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['see work', 'practice', 'quiz', 'school grade', 'homework']}",B
15da6bba033acc29af98c932b5086d43,"Ben was an alcoholic and was in an accident.  Because of his mistake, he spent 8 years somewhere. Where was he?",kite,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['communication', 'suffering', 'pain', 'laughter', 'embarrassment']}",E
273325ff03af43788ef0c0088b3b3e08,Simon bought a cow because he wanted to put it to work.   He didn't want any meat for it.  Where might Simon be taking the cow?,bleachers,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['disneyland', 'snow', 'windowsill', 'street', 'summer']}",A
17e5e2f42d600c5f5c4c38eb2cbd7314,"The accountant used a calculator regularly, he kept one at home and one at the what?",jogging,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['call 911', 'enjoy yourself', 'get drunk', 'having sex', 'meet new people']}",A
d628915698086f4ce0803d11c956c81f,What is a living thing with a lip?,eating hamburger,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['the reward money', 'hurt feelings', 'being found out', 'problems', 'trouble']}",D
d16ad1b3e6f6cf7640e195a79814e44d,What would happen to a person if his or her money is stolen?,person,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['next to the house', 'keeping things in', 'backyard', 'farm yard', 'ranch']}",D
3cf2b7edac6248d75d197bfa87178d3c,Where do farmers keep toothpicks?,humans,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['names', 'words', 'naval', 'bladders', 'feelings']}",E
a2138388b947d06859c4598beef2c89a,Where would you sit in a chair to watch four-legged animals complete?,garage,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['florida', 'denmark', 'united states', 'map', 'california']}",B
388a363c49e1b0aca8eaf18ccdde0caf,"Mark's semen was very thick, but after his vasectomy it was also what?",apple tree,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['air', 'water', 'earth', 'space shuttle', 'tunnel']}",D
a74b9266de3c155863231cc6eae36dce,What will happen to skin pinched in something?,rest,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['gy mnasiu m', 'motel room', 'seashore', 'bath room', 'locker room']}",A
8f495e9bcd88ce23617197520442090c,James was cooling off two quickly.  He would die if he didn't find some way to stop what?,print,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['learning', 'painful memories', 'thinking', 'awe inspiring', 'pleasure']}",E
591221f7cf4790253d19b08d9ea1f77e,"They were getting together for the big game, he wasn't hosting but made sure to bring pretty of food with him over to where?",skin,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['illiterate', 'knowledgable', 'own house', 'have enough food', 'meet expectations']}",C
f36489668c28b26c0cdbc56cec1db27b,What kind of place could have a seafood restaurant?,having fun,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['auditorium', 'office', 'synagogue', 'confession', 'church']}",C
7056e96e868c41ea64b83d64ca04a17a,What might you feel after doing housework for hours?,apple tree,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['backery', 'ham sandwich', 'fridge', 'butcher shop', 'freezer']}",A
98b176ac1c91370e079863d13c7dd964,Google Maps and other highway and street GPS services have replaced what?,alcoholic,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['tear up', 'see light', 'fill with tears', 'be happy', 'glass over']}",D
efbc56534bb0b203b8d0f45894f64590,"The man took 3 hours every morning for grooming, what is the likely result with his job?",watching tv,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['heavy breathing', 'feel pride', 'getting tired', 'lose weight', 'run away']}",A
2a258ed37974c9226cbb32cfbf88d4f0,What's it called when you have seen something through an eyepiece?,love,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['regret', 'automobile accidents', 'drunk driving', 'talking nonsense', 'talk intelligently']}",B
98f268fe3f6603dffd1ef3720e612adf,Where would a ficus plant brighten up a room?,seeing artifacts,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['you', 'abbreviation', 'solitude', 'loneliness', 'alone']}",D
edc64e02a623d1e2fac666eae4daebd2,"Though nearby, an apple from an apple tree where would be an imported product to the USA?",level,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['acceptance', 'rejection', 'hope', 'less sleep', 'employment']}",B
