ind,activity_label,ctx_a,ctx_b,ctx,endings,source_id,split,split_type,label
895,Mixing drinks,People sails in a rocky river on inflatable individual boats. The boats pass with difficulty between the rocks.,she,A man stands next to a young girl dressed in a gymnastic outfit in a gym and talks to the camera. the man,"['does several other tricks with the darts.', 'has two darts in his hands which he aims and shoots at a target.', 'bounces several times, throws an object, and then gets the dart board thrown.', 'is aiming at his darts, going for a large time draw in the back right corner of the dart board.']",activitynet~v_9WmsYbZl1pw,train,indomain,1
968,Getting a haircut,The couple spin multiple times while the audience cheers them on loudly. They continue performing their dance routine and several people on look using phones and cameras.,the athlete who is wearing gray tights and black shirt with number 2 on it,A helmet camera is put on and then a man goes skateboarding. He zooms through the city and goes on a highway. he,"['is doing recumbent stilts in other part of street.', 'is interviewing an old woman in the sreet.', 'is standing in a grass field and wasting with stilts front to right.', 'is sitting in peolpe in a plaza.']",activitynet~v_7BM40jqPYgA,train,indomain,0
442,Tai chi,The train is moving along the station as a crowd walks by. The shiner returns to buffing the right shoe.,they,The woman then jumps over the beam and throws her arms in the air to celebrate and run around the field. the woman,"['see the riders rent from bulls over winter.', 'see another start and a group of people take off in an indoor track.', 'see more jumps and people gearing up.', 'see trophies on flying colors.']",activitynet~v_ANB_IQfi9kA,train,indomain,1
728,Tumbling,An athletic man is seen holding onto a piece of exercise equipment and kneeling while speaking to the camera.,a manta ray,The girl then picks it up and begins to move more of her arms along with her legs and dances in a small area in the room while facing the camera. the girl,"['with brown cloth decorated around it is placed onto the plate and marks the meat.', 'is shown and mayonnaise, ketchup, relish, worcesterchire sauce, and hot sauce get spooned into the bowl.', 'on a clear surface with legs transaction a mixing bowl and experience its contents in the water.', 'is then sprinkled onto a plate and secured with tongs until the meat is fully cooked.']",activitynet~v_6tveUnZe7WA,train,indomain,2
257,Mooping floor,"A boy is skating in a parking lot. He does several moves, dancing and talking.",the pancake,An older man is seen speaking to the camera while holding a tennis ball and racket in his hand. he,"['moves the star shaped welder on the one side of the sandy area because of the sand that covered it.', 'lays down the rod and shows how he can weld the outside of a car from the inside.', 'begins welding the two plates of aluminum.', 'then demonstrates how to weld with a pump until the concrete is clean.']",activitynet~v_C4td7rprQGM,train,indomain,2
1261,Dodgeball,Ingredients are placed in a bowl. The man cracks an egg and whisks the ingredients in a bowl.,he,A woman lays out tissue paper and places a stuffed toy in the center. The woman wraps the toy in the tissue paper and tapes it shut. the woman,"['picks up a new piece of wood and chops that one.', 'puts the wood on the table then picks it back up.', 'eventually steams up his pace.', 'grabs a shovel and shovels several dirt on top of it.']",activitynet~v_EwMAJPldfKs,train,indomain,0
41,Brushing teeth,A man starts chopping a piece of wood with an ax.,two men,"An introduction of 6 different small videos of foods appear and there's text below that say's ""steve's cooking"". a large piece of raw meat","['is finally ready and is placed into the sauce to be browned and popped.', 'is completed and poured onto the noodles.', 'is now cooked and tastes different than it had in his kitchen.', 'is taken off the grill and cook takes out the garlic off the grill.']",activitynet~v_BuaWU70q7cE,train,indomain,0
588,Kite flying,A person is assembling a vacuum on the carpet. They plug the vacuum in. They turn the vacuum on and begin vacuuming the floor.,she,The camera zooms in to show people swimming in the pool and some playing volleyball in the pool. One person gets out of the pool and walks away. a person,"['walks around people stand around him and he nestles in with others on the ground.', 'walks along the embankment he stops to clap and a number of people around him go back and forth clapping.', 'is standing, he plays the bag pipes with the american flag hanging down from them.', 'stands there an altar is shown under the lantern light and we see a couple of bright flowers that are in blue bulbs.']",activitynet~v_1YGz5CQBflM,train,indomain,1
995,Wrapping presents,A group of boys are playing a game of foosball with girls. The two groups stand on either side of the machine.,she,A large kite is seen flying over a beach with people wandering around on the sides. A man is seen flying the large kite while others watch him on the side. another kite,"['is being chopped in an omelettes pan.', 'is shown, put together and cleaned with butter and poured into a pitcher.', 'is shown with syrup being poured on it.', 'is being pounded onto a plate.']",activitynet~v_43OU5XCzLzo,train,indomain,0
9,Pole vault,A man is seen standing with one man in a bedroom.,she,The blended ingredients are put back onto the man and a red substance from a can is poured onto the pan and mixed in. the sauce,"['are shown of people on the court speaking to the camera as well as watching the ball.', 'are shown of people playing in the pool and laughing with one another.', 'follow followed in the same fashion as the host speaking to the man and many more individuals hitting the ball repeatedly.', 'are shown of people playing volleyball as well as filming it online.']",activitynet~v_E7rhlhVA0SY,train,indomain,2
