split,sentence1,sentence2,score
train,"His lawyer, Pamela MacKey, said Bryant expects to be completely exonerated.","This led last month to the recovery of the 600-pound Cancun altar, Vanderbilt University in Nashville and the National Geographic Society announced Wednesday.",4.0
train,"""Unlike many early-stage Internet firms, Google is believed to be profitable.","""I'm going to try to march with a number of different groups,"" Bloomberg said.",4.25
train,Kollar-Kotelly has scheduled another antitrust settlement compliance hearing for January.,"""It's not zero,"" said David Ropeik, director of risk communication at the Harvard Center for Risk Analysis.",4.0
train,Wells’ other series include NBC’s ER and Third Watch.,Heatley underwent surgery Saturday for a broken jaw and an MRI found two torn ligaments in his right knee.,4.111
train,Shares of Corixa fell 12 cents to $6.88 on the Nasdaq stock market.,Analysts surveyed by Thomson First Call had expected Kodak to earn 68 cents a share for the quarter.,3.0
train,"Last year, he made an unsuccessful bid for the Democratic nomination for governor.","At the Casa de Espaa, customers were eating dinner and playing bingo when a bomb went off.",3.4
train,"The currency briefly weakened slightly on Monday to trade at 55.34/39, not far from its record low of 55.75.",An audiotape aired last week by the Arab al-Jazeera television network may be the strongest evidence yet that Saddam survived the war.,3.667
train,"Republicans had pledged to complete a Medicare drug package by August, then extended the deadline to Oct. 17, and they are still working on it.",The matter could then be sent to the U.N. Security Council.,2.4
train,"Shares in EDS closed on Thursday at $18.51, a gain of 6 cents.","Close cooperation between regional law enforcement agencies and intelligence services was at the heart of the fight against terrorism, he said.",4.6
train,Entrenched interests are positioning themselves to control the network's chokepoints and they are lobbying the FCC to aid and abet them.,"The Dow Jones Industrial Average ($DJ: news, chart, profile) rose 56 points, or 0.7 percent, to 8,588.",4.0
train,"""If you pass this bill, Big Brother will be watching you,"" said Rep. John Mabry, D-Waco.","That was up from the year-ago quarter, when the company earned $54.3 million, or 22 cents a share.",3.0
train,"Another big gainer was Rambus Inc. (nasdaq: RMBS - news - people), which shot 32 percent higher.","Later Tuesday, Graham was expected to be re-elected for a second one-year term.",3.0
train,"Of 24 million phoned-in votes, 50.28 percent were for Studdard, putting him 130,000 votes ahead of Aiken.",Former Phipps aides Linda Saunders and Bobby McLamb have both pleaded guilty to federal charges including extortion.,2.2
train,"""I am advised that certain allegations of criminal conduct have been interposed against my counsel,"" said Silver.","Emile Laroza, 51, contracted SARS while working as a nurse at North York General Hospital, the epicentre of the second SARS outbreak.",4.222
train,"That took the benchmark 10-year note US10YT=RR down 9/32, its yield rising to 3.37 percent from 3.34 percent late on Thursday.",But Itar-Tass news agency said four of his bodyguards were among those killed by the bomb.,3.5
train,"It will take time to oust die-hard remnants of Saddam Hussein's deposed regime in Iraq, Defense Secretary Donald H. Rumsfeld said Tuesday.",He also recruited other people to take delivery of fraudulently obtained merchandise he had ordered.,2.25
train,"A spokesman said: ""Since November, we have co-operated fully with the police.","""What has happened to you, sir, by way of punishment, is certainly more than enough,"" Covello said.",3.4
train,"International rescue workers are scouring flattened debris for survivors in Iran's shattered ancient Silk Road city of Bam after a violent earthquake killed more than 20,000 people.","In seeking leniency, Waksal apologized to the court, his employees and his family.",3.6
train,"The WiFi potties were to be unveiled this summer, at music festivals in Britain.","Officials are trying to retrieve the bodies from the water,"" police official J.D. Tambe told Reuters.",2.6
train,The American Stock Exchange biotech index .BTK surged 5 percent.,"""We've put a lot of effort and energy into improving our patching progress, probably later than we should have.",5.0
train,"""Spending taxpayer dollars to create terrorism betting parlors is as wasteful as it is repugnant,"" they announced at a press conference yesterday.","DRINKING green tea can dramatically reduce the risk of men contracting prostate cancer, a study by Australian researchers has discovered.",3.2
train,Dealers said the single currency's downward momentum against the dollar could pick up speed if it broke below $1.15.,"The heatwave was due to a mass of hot, dry air from the southeast, said Mario Almeida of Portugal's weather service.",4.2
train,"The dollar fell as low as $1.1624 per euro from $1.1486 on Friday, and traded at $1.1594 at 10:15 a.m. in London.","The technology-laced Nasdaq Composite Index .IXIC lost 2 points, or 0.18 percent, to 1,649.",4.4
train,"Others with such a status are Egypt, Israel, and Australia.",Fujitsu Siemens Computers on Tuesday made good on a promise to offer a workstation based on Advanced Micro Devices' Opteron processor.,3.8
train,"Against the Japanese currency, the euro was at 135.92/6.04 yen against the late New York level of 136.03/14.","""This is America, my friends, and it should not happen here.""",3.0
train,But the inadequate performance of students in various subgroups tagged the state as deficient under the federal No Child Left Behind act.,"The benchmark 10-year note US10YT=RR lost 11/32 in price, taking its yield to 3.21 percent from 3.17 percent late on Monday.",2.333
train,"The benchmark 10-year note US10YT=RR lost 11/32 in price, taking its yield to 3.21 percent from 3.17 percent late on Monday.","The U.S. Food and Drug Administration rejected ImClone's original application in December 2001, saying the trial had been sloppily conducted.",2.8
train,"One, Fort Carson-based Sgt. Ernest Bucklew, 33, had been on his way home to attend his mother's funeral in Pennsylvania.",Scott Dixon eventually made winning the Honda Indy 225 look easy Sunday at Pikes Peak International Raceway.,3.0
train,The 6th U.S. Circuit Court of Appeals on Wednesday ruled that an Ohio law banning a controversial late-term abortion method passes constitutional muster and the state can enforce it.,"Despite problems in the job market, the latest snapshot of the labor markets was slightly better than economists were expecting.",4.8
train,The company said it would cut the wholesale price of most top-line CDs to $9.09 from $12.02.,"Jim Williams, director of the US-VISIT project, said that by the middle of November, inspectors will be fingerprinting and photographing many foreign passengers arriving in Atlanta.",3.5
train,"I think we made the right case and did the right thing.""","While some other parts of Africa have been used as Al Qaeda staging grounds, Malawi had previously not been a major focus of investigations into the group.",3.6
train,"On July 22, Moore announced he would appeal the case directly to the U.S. Supreme Court.","They will not elect as president a Democrat who sounds an uncertain trumpet in these dangerous times.""",3.4
train,"""It is safe to assume the Senate is prepared to pass some form of cap,"" King said.","The latest shooting linked to the spree was a Nov. 11 shooting at Hamilton Township Elementary School in Obetz, about two miles from the freeway.",3.5
train,"The technology-laced Nasdaq Composite Index was up 7.60 points, or 0.46 percent, at 1,653.62.",The MDC called the week-long protest to urge Mugabe either to resign or to negotiate a settlement of the crisis gripping the country.,2.4
train,"On the other hand, if this will help further establish Steve's innocence, we welcome it.""","CELF's founding members are Hitachi, Matsushita, NEC, Philips, Samsung, Sharp, Sony, and Toshiba.",2.8
train,A poll showed that the FBI bugging of the mayor had given a boost to his reelection effort against GOP opponent Sam Katz.,"The attorney representing al-Halabi, Air Force Maj. James Key III, denied the charges, according to The Associated Press.",3.75
train,"Added Mr. Prodi: ""Maybe, but the old age helps us to understand our strengths and our weakness.""",A convicted killer and two other inmates cut through two fences topped with razor wire and escaped from a state prison on a busy street.,0.5
train,"He playfully chided the Senate's ""little bitty tax relief plan.""","Standard & Poor's 500 index rose 15.66 to 1,046.79, its best advance since Oct. 1, when it gained 22.25.",3.75
train,"The Dow Jones industrial average .DJI edged up 13.33 points, or 0.15 percent, to 9,196.55.","The Dow Jones industrial average <.DJI> fell 44 points, or 0.46 percent, to 9,568.",3.25
train,"People who have opposed these actions throughout are now trying to find fresh reasons to say this wasn't the right thing to do.""",Shevaun Pennington disappeared on Saturday morning after arranging to meet 31-year-old Toby Studabaker.,4.0
