id,question_stem,choices,answerKey
413,"Birds eat nuts, but sometimes they eat","{'text': ['salt', 'cacti', 'strong fans', 'sand'], 'label': ['A', 'B', 'C', 'D']}",D
7-1160,Bees are attracted to,"{'text': ['sticking a plug into an outlet to power a microwave', 'turning on a coffee pot in the morning', 'making sure that a hair dryer is unplugged after use', 'turning on lights in a room'], 'label': ['A', 'B', 'C', 'D']}",D
7-950,Earth rotating causes,"{'text': ['electrons are then disturbed', 'a piece of metal closes the circuit', 'it lets the acid free', 'the circuit is opened'], 'label': ['A', 'B', 'C', 'D']}",A
812,A skill some humans have is,"{'text': ['state its tightness', 'store it', 'disperse it', 'condense it further'], 'label': ['A', 'B', 'C', 'D']}",A
9-1079,examples of pollution include all but,"{'text': ['fall into the oceans', 'are water leaking volcanoes', 'erupt into the sea', 'are found and erupt beneath the water'], 'label': ['A', 'B', 'C', 'D']}",A
9-87,What impacts an objects ability to reflect light?,"{'text': ['have gouges', 'have stains', 'be frozen', 'be dirty'], 'label': ['A', 'B', 'C', 'D']}",C
9-672,Sickness has the potential to,"{'text': ['will hopefully limit the amount of damage done to the environment by large producers', 'a standard that gets applied to every person', 'a way to get factories to make more product', 'the best way to reduce poisoning the trees in Michigan'], 'label': ['A', 'B', 'C', 'D']}",A
9-460,An example of weathering is,"{'text': ['the screen on a smartphone', ""our planet's closest star"", 'the teacher in the class', ""the waitress's name tag""], 'label': ['A', 'B', 'C', 'D']}",A
7-340,A glacier is made of,"{'text': ['they can use a cylinder with unit markings', 'none of these', 'they can use a tape measure', 'they can use a thermometer'], 'label': ['A', 'B', 'C', 'D']}",B
7-282,What is the most likely to be an effect of acid rain on an aquatic environment?,"{'text': ['a plastic cup', 'a plaster wall', 'a grey stone', 'a paper plate'], 'label': ['A', 'B', 'C', 'D']}",D
9-444,Why would some birds have beaks that look a lot different than those of other birds?,"{'text': ['vegetable oil', 'coal', 'fossil fuel', 'petroleum fuel'], 'label': ['A', 'B', 'C', 'D']}",A
7-447,if food has lack of immediate use for energy then it will,"{'text': ['it is taking in air', 'it tries to breathe', 'it is using water', 'it needs to reproduce'], 'label': ['A', 'B', 'C', 'D']}",D
9-396,what process is adulthood categorized under?,"{'text': ['electricty', 'a bird', 'a landslide', 'a flash flood'], 'label': ['A', 'B', 'C', 'D']}",B
8-483,Stormy weather often leads to,"{'text': ['reproducing', 'food for animals', 'growth', 'food storage'], 'label': ['A', 'B', 'C', 'D']}",D
7-16,Environments which are covered in snow are often white as a result of said snow and what other factor?,"{'text': ['Kool-aid', 'urine', 'helium', 'ice sculpture'], 'label': ['A', 'B', 'C', 'D']}",C
8-203,Where in the world will a person have the smallest shadow at noon?,"{'text': ['straw', 'Glass', 'Candle', 'mailing tube'], 'label': ['A', 'B', 'C', 'D']}",A
9-632,Which of the following could make more people want to wear masks?,"{'text': ['Saturn', 'Mars', 'Neptune', 'Uranus'], 'label': ['A', 'B', 'C', 'D']}",A
7-642,which of these would more likely survive?,"{'text': ['gathering lost things', 'disorientating enemies', 'warning others', 'helping sleep'], 'label': ['A', 'B', 'C', 'D']}",C
7-576,Spiders can catch prey by doing all aside from,"{'text': ['a diamond and steel', 'a rock and glass', 'a diamond and agate', 'a ruby and salt'], 'label': ['A', 'B', 'C', 'D']}",A
7-591,We have respiration in our bodies to,"{'text': ['sight', 'smell', 'crawling', 'hearing'], 'label': ['A', 'B', 'C', 'D']}",A
8-2,"An example of a chemical change is acid breaking down substances, another is","{'text': ['look at the weather many mornings, afternoons, and evenings in different seasons', 'look at the the most extreme weather events', 'look at the weather at noon only', 'look at the weather on one day'], 'label': ['A', 'B', 'C', 'D']}",A
9-375,A magnifying glass,"{'text': ['reusing cloth baby diapers', 'recycling plastic water bottles', 'using all natural household cleaners', 'prescription medicine being put down sink drains'], 'label': ['A', 'B', 'C', 'D']}",A
9-945,Iron is used to make,"{'text': ['Liberalism', 'Ecosystem Vulnerability', 'Conservationism', 'Protectionism'], 'label': ['A', 'B', 'C', 'D']}",B
833,Which of these items was able to keep things cool thanks to electrical conversion?,"{'text': ['the future', 'minut defects', 'colors', 'the other side'], 'label': ['A', 'B', 'C', 'D']}",B
8-301,Special tissues in plants transport minerals throughout the plant such as,"{'text': ['den', 'field', 'tree', 'mother.'], 'label': ['A', 'B', 'C', 'D']}",D
7-943,Air is considered to be a vehicle for..?,"{'text': ['maybe it moves faster', 'this is likely to be false', 'all of these', 'odds are in its favor'], 'label': ['A', 'B', 'C', 'D']}",B
8-95,Thunder clouds are,"{'text': ['birds using twigs to build nests', 'otters using rocks to open clams', 'anteaters using their tongue to catch ants', 'koalas using their pouch to hold infants'], 'label': ['A', 'B', 'C', 'D']}",C
9-939,Materials like ethanol are used to produce electricity by _____.,"{'text': ['Wooden hairbrush', 'Oranges', 'Glassware', 'Zippers'], 'label': ['A', 'B', 'C', 'D']}",B
9-1013,"A bird makes its home in various places, such as","{'text': ['swamp', 'anthill', 'river', 'bee hive'], 'label': ['A', 'B', 'C', 'D']}",B
9-256,I have to plug in a processor of food because it,"{'text': ['the mountain used to be underwater', 'some bears in mountains eat fish', 'some fish can climb mountains', 'sometimes rain can move fish to high spaces'], 'label': ['A', 'B', 'C', 'D']}",A
7-835,The wolf raises his family near a,"{'text': ['one box', 'two boxes', 'three boxes', 'four boxes'], 'label': ['A', 'B', 'C', 'D']}",C
7-776,Many animals entered the city because of,"{'text': ['something to keep it interested', 'a source to propel it forward', 'something to give it hope', 'something to consider doing'], 'label': ['A', 'B', 'C', 'D']}",B
9-295,"A woman is digging under a tree on a tall mountain. She is looking for interesting rocks, and a foot down into the soil, discovers a fossilized fish skeleton. From this discovery, the woman is able to determine that","{'text': ['fall', 'winter', 'summer', 'spring'], 'label': ['A', 'B', 'C', 'D']}",B
8-124,We can calculate a speed if we know a number of,"{'text': ['heating the minerals to high temperatures', 'applying pressure using a sharp, tough object in order to leave marks', 'hitting the minerals with a tougher stone', 'taking bits of metal and comparing the texture to the minerals'], 'label': ['A', 'B', 'C', 'D']}",A
183,It changes from winter to spring because of a,"{'text': ['lights are turned on in another house', 'a joined room is dark', 'the room is completely dark', 'a joined room is lit'], 'label': ['A', 'B', 'C', 'D']}",D
9-767,"if a person gets some fruit wine for a gift, how can they measure its volume?","{'text': ['there will be extra bees', 'there will be green flowers', 'there will be eight rabbits', 'there will be berries there'], 'label': ['A', 'B', 'C', 'D']}",A
1081,Pressing your appendages against an object can allow one to,"{'text': ['pottery clay for kilns', 'baking sheet for cookies', 'items that fasten roofing to roofs', 'twist ties for bread bags'], 'label': ['A', 'B', 'C', 'D']}",A
593,which one of these can help a person cook their food?,"{'text': ['an iron nail', 'a metal nail', 'a steel nail', 'all of these'], 'label': ['A', 'B', 'C', 'D']}",D
1413,"When wheels are squealing on a blacktop, friction","{'text': ['cat', 'dog', 'annelids', 'fish'], 'label': ['A', 'B', 'C', 'D']}",A
9-422,"In a forest without anyone around, a fire may be started by","{'text': ['evaporate', 'break it', 'melt', 'run off'], 'label': ['A', 'B', 'C', 'D']}",C
608,A ruler is used for measuring the length of what?,"{'text': ['change in appearance', 'nothing', 'population increase', 'population decrease'], 'label': ['A', 'B', 'C', 'D']}",D
7-826,"At any given time on earth, some countries can be in bed and other are in the middle of the day enjoying the outdoors, why?","{'text': ['higher temps to be applied', 'a stove to be used', 'an oven to be used', 'a fire to be built'], 'label': ['A', 'B', 'C', 'D']}",A
7-165,A child will only grow if they are provided with,"{'text': ['Moods', 'Environment', 'Behavior', 'Consumption'], 'label': ['A', 'B', 'C', 'D']}",C
7-909,The reason that flies can always find food is that they can smell,"{'text': ['the floor of a sea', 'the bottom of a house', 'the bottom of a mountain', 'the bottom of a river'], 'label': ['A', 'B', 'C', 'D']}",D
848,December is in the summer in what,"{'text': ['the plug', 'the power cable', 'the wall', 'the game console'], 'label': ['A', 'B', 'C', 'D']}",B
7-347,which of these usually occur over the shortest period?,"{'text': ['creatures experience some suffering', 'animals must make their own', 'dogs will need to be fed', 'organisms need to be cared for'], 'label': ['A', 'B', 'C', 'D']}",B
1288,"I have a shirt that is now too small, what can I do to conserve and reuse the fabric?","{'text': ['5 degrees celsius', '42 degrees Fahrenheit', '6 degrees Celsius', '8 degrees Celsius'], 'label': ['A', 'B', 'C', 'D']}",B
1395,Which is a solid?,"{'text': ['woke up', 'went to work', 'took a break', 'went home'], 'label': ['A', 'B', 'C', 'D']}",D
9-676,ultraviolet light is found in light from where,"{'text': ['fish', 'tree bark', 'nuts', 'leaves'], 'label': ['A', 'B', 'C', 'D']}",D
1514,"In a bog, when water levels become low,","{'text': ['has asteroid impact marks', 'is smooth all over', 'is filled with lakes', 'has a stronger gravitational pull than Earth'], 'label': ['A', 'B', 'C', 'D']}",D
7-741,What is the result of an object reflecting light toward the eye?,"{'text': ['to take a photograph', 'to look through a window', 'to use hands to shield eyes', 'avert eyes at all costs'], 'label': ['A', 'B', 'C', 'D']}",C
