tag,category,count,alias
blue_sky,0,153971,"天使の輪,天使の輪っか,光环,ヘイロー,へいろー"
brown_eyes,0,103820,半袖
blonde_hair,0,69193,"剣,大刀,刀剣,グレートソード,大剣,女剣士,劍,miekka,espada,pedang,Schwert,miecz,меч,svärd,swaard"
aqua_eyes,0,396719,オレンジ髪
smile,0,145652,
obi,0,541349,
toes,0,105127,"横顔,侧脸,侧面"
honkai_(series),0,80553,脇見せのポーズ
arm_support,0,324823,"閉口,口を閉じる"
arm_up,0,98983,"漫画,マンガ,漫畫,만화,漫畵"
side_ponytail,0,70629,"いいスジしてる,メコスジ,すじ,スジ,骆驼趾,도끼자국,キャメルトゥ,まんすじ"
light_brown_hair,0,142767,"シーツ,ベッドシーツ"
water,0,74100,
black_shorts,0,1273613,馬耳
floral_print,0,91457,"食べ物,食品,食物"
highleg,0,74754,"白手袋,白手套,白長手袋"
completely_nude,0,789325,"茶色髪,小麦色髪,淡褐色髪"
chibi,0,233227,付け襟
kantai_collection,0,391147,"傘,伞,雨傘,雨伞"
strapless,0,213194,"半ズボン,短パン,ショートパンツ"
star_(symbol),0,243263,生足
navel,0,76186,"ダッチアングル,倾斜角度"
profile,0,277743,"水,물"
parted_bangs,0,87446,披肩
multiple_views,0,91615,"背中,魅惑の背中,ぱっくり背中,せなか"
no_shoes,0,412658,"碧蓝航线,碧藍航線,アズールレーン,AzurLane,舰B,艦B,アズレン,벽람항로,アズールレーン陣営,アズールレーン版深夜の真剣お絵かき60分一本勝負,パイズールレーン,KAN-SEN,アズレン漫画"
hair_intakes,0,322632,
midriff,0,227950,
plaid_clothes,0,184646,"横臥,松葉崩し,侧躺"
very_long_hair,0,453578,"花,はな,フラワー,꽃,以花咏画,花と女の子"
white_jacket,0,68383,"褐色,褐色肌,色黒"
pointy_ears,0,116832,"タートルネック,ハイネック,高领毛衣"
black_footwear,0,110708,"青空,蒼空,青い空,蒼天,蒼穹,碧空,蓝天"
food,0,322574,"ヘッドフォン,ヘッドホン,ヘッドホン娘,ヘッドホン男子,头戴式耳机"
outdoors,0,426864,"金髪,金髮,金发,금발,金髪碧眼,金髮碧眼,金发碧眼,금발벽안,金髪ロング,金髪ツインテール,ブロンド"
open_clothes,0,127810,"首傾げ,歪头"
holding_sword,0,103538,"タイツ,黒タイツ,黒パンスト,白タイツ,ストッキング,パンスト,パンティストッキング,タイツの日,ストッキングの日,连裤袜,裤袜"
green_eyes,0,106465,"夜,夜景,よる"
3girls,0,108883,"ホワイトブリム,女仆头饰"
clothing_cutout,0,74215,
black_bikini,0,191008,"サイドテール,侧马尾"
v,0,413261,"赤髪,紅髪,红发,빨강머리,빨간머리"
shoes,0,85988,"汗,汗だく"
hat,3,1105296,青シャツ
lying,0,169134,"ソックス足裏,生靴下"
black_eyes,0,99232,"ベルト,腰带"
